"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H3","ABW","280300","Aruba","COL","Colombia","Import",5,0.012,,,,
"H3","ABW","280300","Aruba","NLD","Netherlands","Import",5,,,3.083,,
"H3","ABW","280300","Aruba","PAN","Panama","Import",5,0.623,,,,
"H3","ABW","280300","Aruba","UNS","Unspecified","Import",5,,,,0.035,0.032
"H3","ABW","280300","Aruba","USA","United States","Import",5,8.177,14.065,26.661,0.089,
"H3","ABW","280300","Aruba","WLD"," World","Import",5,8.812,14.065,29.744,0.124,0.032
"H3","AGO","280300","Angola","BMU","Bermuda","Import",5,,,,1.797,
"H3","AGO","280300","Angola","CHN","China","Import",5,1.388,74.652,,13.263,31.193
"H3","AGO","280300","Angola","DEU","Germany","Import",5,,,,,1
"H3","AGO","280300","Angola","ESP","Spain","Import",5,1.659,2.366,4.716,,
"H3","AGO","280300","Angola","FRA","France","Import",5,0.04,,,,
"H3","AGO","280300","Angola","GBR","United Kingdom","Import",5,31.229,,20.701,1.262,4.302
"H3","AGO","280300","Angola","IND","India","Import",5,6.244,14.281,,57.353,12.639
"H3","AGO","280300","Angola","ISR","Israel","Import",5,,,,1.357,
"H3","AGO","280300","Angola","LBN","Lebanon","Import",5,,1.041,7.658,3.408,1.816
"H3","AGO","280300","Angola","NLD","Netherlands","Import",5,,0.349,,,
"H3","AGO","280300","Angola","PRT","Portugal","Import",5,0.135,,,9.3,41.296
"H3","AGO","280300","Angola","WLD"," World","Import",5,40.696,92.702,55.169,93.19,92.246
"H3","AGO","280300","Angola","ZAF","South Africa","Import",5,,0.013,22.095,5.451,
"H3","ALB","280300","Albania","GRC","Greece","Import",5,10.949,18.724,,,
"H3","ALB","280300","Albania","WLD"," World","Import",5,10.949,18.724,,,
"H3","AND","280300","Andorra","DEU","Germany","Import",5,,0.206,,,
"H3","AND","280300","Andorra","WLD"," World","Import",5,,0.206,,,
"H3","ARE","280300","United Arab Emirates","AFG","Afghanistan","Export",6,0,0,0,,0
"H3","ARE","280300","United Arab Emirates","AZE","Azerbaijan","Export",6,0,8.436,,1.201,0
"H3","ARE","280300","United Arab Emirates","BDI","Burundi","Export",6,0,,,,
"H3","ARE","280300","United Arab Emirates","BEL","Belgium","Export",6,0,0,0,,
"H3","ARE","280300","United Arab Emirates","BEL","Belgium","Import",5,24.921,,,3.146,
"H3","ARE","280300","United Arab Emirates","BEN","Benin","Export",6,,,0,0,0
"H3","ARE","280300","United Arab Emirates","BFA","Burkina Faso","Export",6,,,,,0
"H3","ARE","280300","United Arab Emirates","BHR","Bahrain","Export",6,0,0,0,0,13.07
"H3","ARE","280300","United Arab Emirates","BRA","Brazil","Export",6,,,,,0
"H3","ARE","280300","United Arab Emirates","CAN","Canada","Export",6,,0,,,
"H3","ARE","280300","United Arab Emirates","CAN","Canada","Import",5,36.603,,61.089,30.56,12.871
"H3","ARE","280300","United Arab Emirates","CHE","Switzerland","Import",5,,,,,2.221
